OBJECTID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1,0.291132262,18.8602875,63.62459391,118.6702651,170.4076973,214.9133211,250.6546578,277.0057354,293.7729521,301.0306825,299.0598184,288.3227615,269.4516347,243.2411723,210.6432433,172.762275,130.8520278,86.31501319,45.18642257,43.94199077,42.29268337,40.14836524,37.38181555,33.8147906,29.20273871,23.23571163,15.64433764,7.351197509,0.814688952,0.001166709
2,0.081799449,3.295890377,8.900584614,14.32336024,18.55878866,21.79147181,24.26436882,26.16751743,56.86503015,100.3537589,135.8970961,168.5350056,197.0725471,220.5413155,238.180947,249.4301205,253.9237403,251.4946406,242.1794693,206.519827,140.1240251,26.7845335,25.06375453,73.76455851,74.71813313,41.48114566,14.03479648,5.522835263,0.713905102,0.001513235
3,0.392817641,0.857798878,2.427980545,3.99620867,5.241746994,6.201726522,6.940708995,7.511886069,7.954194324,8.295332016,8.554865326,8.746532582,8.879814237,8.960961952,8.993643474,8.979306176,8.91731721,8.804902461,8.636874666,8.40510746,8.097671278,7.697495809,7.180373384,6.512145868,5.645395821,4.518601747,3.073729607,1.4729309,0.172830414,0.000286274
4,0.594528907,29.27823749,76.42597963,111.3629039,124.559066,120.2595421,103.346884,77.87101935,47.04694932,45.69393786,47.16799625,48.25748046,49.01551821,49.47721572,49.66319651,49.58160468,49.22887891,48.58941523,47.63406721,46.31725426,44.57223817,42.30387888,39.37798623,35.60675273,30.73296157,24.43178312,16.4246404,7.695480766,1.251070942,0.002428912
5,0.30824049,29.25737859,97.58097974,169.3325313,221.3980692,251.9731662,263.393528,258.668758,240.6780894,212.0424881,175.1536162,132.2248378,85.33209856,46.90992186,47.11151416,47.02306007,46.64090819,45.94909657,44.91796872,43.50155379,41.63342299,39.22066892,36.13587164,32.2082526,27.22076126,20.94138841,13.301234,5.591931219,0.448147826,0.00028103
6,1.11602893,49.37895426,133.2279929,207.8187631,255.1861948,278.0912818,281.0491845,268.097814,242.609951,207.4403953,165.0795121,117.762803,67.5404272,50.73131523,50.91322804,50.83342474,50.48836128,49.86249833,48.9267623,47.63556306,45.92187927,43.68961391,40.80209186,37.06561225,32.20935467,25.87698669,17.71668447,8.595251615,1.045458654,0.001897749
7,0.045562146,3.439460101,10.99566762,19.18428534,25.97529163,31.3431697,35.54306257,38.82564603,41.38788546,43.37552787,44.89414306,46.01912677,46.80312437,47.28113262,47.47378958,47.38926138,47.02397592,93.22698171,139.4875969,181.2839126,216.4381375,242.5747734,257.0545061,256.8942439,238.7322528,199.1043436,136.1465105,61.98490219,5.776814984,0.00508183
8,0.037243481,1.627903182,4.49342174,7.307261103,9.522200387,11.22044934,12.52336075,13.52809706,14.30487034,14.90325447,15.35809843,15.69378961,15.92711776,16.06913666,16.12632473,16.1012371,15.99275665,15.79598472,15.50175379,15.09568226,14.55661497,13.85419219,12.94517952,27.41107127,90.63289366,88.59067771,5.656196379,2.759026035,0.34092905,0.000644277
9,0.450933073,25.64962423,81.27023313,145.1577152,201.6332891,247.3960185,281.6835782,304.5216483,316.2459891,317.3693135,308.5465518,290.5678516,264.3579378,230.9754943,191.6111576,147.5845018,100.3411989,51.45213774,45.45841421,44.22816819,42.59671612,40.47393452,37.73221159,34.19189139,29.60451252,23.6500943,16.03429526,7.634991569,0.879453791,0.001389663
10,0.078497027,4.365073134,12.8541508,21.5615481,28.57530633,34.0256406,38.24350819,41.51543843,44.05571026,46.01862922,47.51405926,48.61955701,49.38884323,56.13470713,110.1419911,162.1687238,210.4687175,253.3529441,289.190385,316.4047576,333.4645889,338.8645496,331.0985461,308.6357754,269.9516721,213.8220524,140.7217514,63.29260472,6.48784858,0.008313573
