"","x"
"1",37.4
"2",38.4
"3",36.7
"4",36.5
"5",37.4
"6",36.4
"7",36.9
"8",37.6
"9",36.7
"10",36.7
"11",38.2
"12",37.9
"13",38.1
"14",38.5
"15",38.6
"16",39.3
"17",40.1
"18",40.3
"19",39.5
"20",37.9
"21",39.4
"22",40.8
"23",43
"24",43.6
"25",43.9
"26",45.1
"27",41.3
"28",39.8
"29",38.7
"30",36.7
"31",33.5
"32",31.7
"33",31
"34",29
"35",26.2
"36",24.6
"37",23.8
"38",23
"39",19.8
"40",18.2
"41",17.2
"42",16
"43",14.6
"44",14.1
"45",13.7
"46",13.4
"47",13.4
"48",13.2
"49",12.8
"50",12.6
"51",12.5
"52",12
"53",11.5
"54",11.1
"55",11.2
"56",10.8
"57",10.6
"58",10.6
"59",10.8
"60",10.9
"61",10.7
"62",10.8
"63",11.1
"64",10.9
"65",11.2
"66",11.4
"67",11.9
"68",12
"69",12.1
"70",12.6
"71",13.2
"72",15.9
"73",23.5
"74",26.5
"75",26.4
"76",28.5
"77",29.3
"78",32.7
"79",34.8
"80",37.2
"81",36.2
"82",38
"83",40.4
"84",40.1
"85",39.5
"86",37.7
"87",37
"88",38
"89",38.4
"90",38
"91",39
"92",35.4
"93",34.8
"94",35.1
"95",36.2
"96",36.4
"97",37.3
"98",37.3
"99",37.6
"100",37.3
"101",39.8
"102",41.7
"103",40.5
"104",42
"105",41.5
"106",42
"107",43
"108",42.6
"109",43.5
"110",44.2
"111",44.1
"112",44.5
"113",44.6
"114",43.8
"115",44.2
"116",47.2
"117",47.6
"118",48.5
"119",46.9
"120",46
"121",46.1
"122",46.8
"123",47.3
"124",44.4
"125",41.5
"126",37.8
"127",34.9
"128",33.4
"129",31.9
"130",29.2
"131",26.7
"132",24.4
"133",23.1
"134",20.7
"135",18.6
"136",17.3
"137",16.4
"138",15.7
"139",14.9
"140",14.3
"141",13.6
"142",12.1
"143",11.1
"144",10.2
"145",9.9
"146",9.8
"147",10.2
"148",11.5
"149",11.5
"150",11.8
"151",11.4
"152",11
"153",11
"154",10.8
"155",10.5
"156",10.3
"157",10.2
"158",10
"159",9.6
"160",9.9
"161",9.5
"162",8.6
"163",7.7
"164",6.8
"165",8.6
"166",11.1
"167",15.9
"168",13.8
"169",19.9
"170",20.7
"171",21.3
"172",23.5
"173",25.8
"174",28.1
"175",29.2
"176",30.1
"177",31.4
"178",30.8
"179",30
"180",27.9
"181",29.1
"182",28.6
"183",27.8
"184",26.9
"185",25.7
"186",26.4
"187",27.2
"188",26.4
"189",25.9
"190",26.8
"191",26.4
"192",27.1
"193",27.7
"194",27.8
"195",27.2
"196",27.3
"197",27.7
"198",28.2
"199",28.9
"200",30.6
"201",28.9
"202",32.1
"203",33.2
"204",32.4
"205",32.8
"206",33.3
"207",33.7
"208",33.9
"209",34
"210",33.7
"211",32.7
"212",33.7
"213",32.7
"214",34.7
"215",37.6
"216",35.4
"217",34
"218",34.9
"219",33.4
"220",32.2
"221",31.1
"222",28.9
"223",26.9
"224",24.9
"225",25.6
"226",22.1
"227",21.1
"228",18
"229",16.5
"230",15.9
"231",16.1
"232",15.6
"233",15.7
"234",14.4
"235",13.3
"236",12.4
"237",12
"238",11.8
"239",11.7
"240",11.6
"241",11.1
"242",10.8
"243",10.5
"244",10.8
"245",11.4
"246",11.4
"247",11.2
"248",11.3
"249",11.3
"250",11
"251",10.9
"252",10.7
"253",11.4
"254",11.3
"255",10.9
"256",10.4
"257",10.3
"258",10.2
"259",10.8
"260",11.5
"261",11.9
"262",12.4
"263",11.5
"264",11.8
"265",13.6
"266",14.9
"267",16.7
"268",23.1
"269",25.8
"270",25.6
"271",29.8
"272",30.6
"273",32.8
"274",35.3
"275",37.1
"276",39
"277",39.3
"278",42.2
"279",43.1
"280",44.7
"281",45.7
"282",45.9
"283",46.6
"284",47.3
"285",45.9
"286",46.9
"287",46.7
"288",47.4
"289",44.4
"290",42.3
"291",43.1
"292",46.7
"293",44.5
"294",45.6
"295",44.8
"296",43.1
"297",43.5
"298",47
"299",50.8
"300",51.9
"301",52.5
"302",53
"303",51.9
"304",50.4
"305",50.5
"306",51.7
"307",47.8
"308",47.4
"309",47.8
"310",48.8
"311",49.3
"312",48.7
"313",48.2
"314",47
"315",48.1
"316",46.5
"317",43.7
"318",44.3
"319",44
"320",43.5
"321",43
"322",41
"323",39.8
"324",40.6
"325",39.4
"326",39
"327",35.6
"328",30.7
"329",28.1
"330",25.8
"331",24.2
"332",23.3
"333",23.4
"334",23.2
"335",21.9
"336",21.7
"337",21.9
"338",19.4
"339",18.1
"340",17.4
"341",16.4
"342",17.9
"343",20.8
"344",21.7
"345",22.2
"346",23.2
"347",24.2
"348",25.9
"349",26.5
"350",27.7
"351",32.3
"352",35.7
"353",40.1
"354",46.3
"355",45.1
"356",46.2
"357",45.7
"358",43.3
"359",45.8
"360",46.4
"361",47.8
"362",49.3
"363",49.1
"364",49.9
"365",50
"366",48.4
"367",49.2
"368",52
"369",53
"370",55.2
"371",56.1
"372",57.4
"373",56.1
"374",54.6
"375",53.3
"376",51.6
"377",51.8
"378",53.4
"379",53.7
"380",55.9
"381",58.2
"382",58.2
"383",58
"384",60
"385",59.1
"386",59.6
"387",59.8
"388",60.5
"389",60.1
"390",60.1
"391",60.5
"392",60.1
"393",60.8
"394",61.8
"395",62.8
"396",63.7
"397",65.1
"398",66.1
"399",65
"400",64.8
"401",65.4
"402",65.7
"403",65.3
"404",65.7
"405",65.4
"406",65.1
"407",65.5
"408",65.1
"409",65
"410",63.5
"411",62.4
"412",60.9
"413",59.9
"414",57.8
"415",54.5
"416",52.5
"417",50.9
"418",48
"419",44.3
"420",40.4
"421",36
"422",31.3
"423",29.2
"424",27.7
"425",26.6
"426",25.9
"427",25.4
"428",24.8
"429",24.1
"430",24
"431",23.4
"432",23.1
"433",22.7
"434",22.6
"435",22.4
"436",22.2
"437",21.9
"438",21.6
"439",21.2
"440",21.1
"441",21
"442",20.9
"443",20.8
"444",20.8
"445",21.1
"446",21.1
"447",21
"448",20.7
"449",20.7
"450",20.8
"451",20.9
"452",21.5
"453",21.3
"454",21.8
"455",22
"456",23
"457",23
"458",23.2
"459",23.9
"460",25
"461",31.2
"462",33.2
"463",36.8
"464",38.2
"465",40
"466",41.2
"467",43.1
"468",44.8
"469",45.7
"470",47.2
"471",49.4
"472",48.8
"473",48.5
"474",48.9
"475",51.9
"476",52.4
"477",51.2
"478",48.6
"479",49.6
"480",52.3
